,Date,Year,Month,Holiday,Weekday,WorkingDay,WeatherSituation,Casual,Registered,Total
0,2011-01-01,2011,Jan,FALSE,Sat,FALSE,Cloudy,331,654,985
1,2011-01-02,2011,Jan,FALSE,Sun,FALSE,Cloudy,131,670,801
2,2011-01-03,2011,Jan,FALSE,Mon,TRUE,Sunny,120,1229,1349
3,2011-01-04,2011,Jan,FALSE,Tues,TRUE,Sunny,108,1454,1562
4,2011-01-05,2011,Jan,FALSE,Wed,TRUE,Sunny,82,1518,1600
5,2011-01-06,2011,Jan,FALSE,Thur,TRUE,Sunny,88,1518,1606
6,2011-01-07,2011,Jan,FALSE,Fri,TRUE,Cloudy,148,1362,1510
7,2011-01-08,2011,Jan,FALSE,Sat,FALSE,Cloudy,68,891,959
8,2011-01-09,2011,Jan,FALSE,Sun,FALSE,Sunny,54,768,822
9,2011-01-10,2011,Jan,FALSE,Mon,TRUE,Sunny,41,1280,1321
10,2011-01-11,2011,Jan,FALSE,Tues,TRUE,Cloudy,43,1220,1263
11,2011-01-12,2011,Jan,FALSE,Wed,TRUE,Sunny,25,1137,1162
12,2011-01-13,2011,Jan,FALSE,Thur,TRUE,Sunny,38,1368,1406
13,2011-01-14,2011,Jan,FALSE,Fri,TRUE,Sunny,54,1367,1421
14,2011-01-15,2011,Jan,FALSE,Sat,FALSE,Cloudy,222,1026,1248
15,2011-01-16,2011,Jan,FALSE,Sun,FALSE,Sunny,251,953,1204
16,2011-01-17,2011,Jan,TRUE,Mon,FALSE,Cloudy,117,883,1000
17,2011-01-18,2011,Jan,FALSE,Tues,TRUE,Cloudy,9,674,683
18,2011-01-19,2011,Jan,FALSE,Wed,TRUE,Cloudy,78,1572,1650
19,2011-01-20,2011,Jan,FALSE,Thur,TRUE,Cloudy,83,1844,1927
20,2011-01-21,2011,Jan,FALSE,Fri,TRUE,Sunny,75,1468,1543
21,2011-01-22,2011,Jan,FALSE,Sat,FALSE,Sunny,93,888,981
22,2011-01-23,2011,Jan,FALSE,Sun,FALSE,Sunny,150,836,986
23,2011-01-24,2011,Jan,FALSE,Mon,TRUE,Sunny,86,1330,1416
24,2011-01-25,2011,Jan,FALSE,Tues,TRUE,Cloudy,186,1799,1985
25,2011-01-26,2011,Jan,FALSE,Wed,TRUE,Rain/Snow,34,472,506
26,2011-01-27,2011,Jan,FALSE,Thur,TRUE,Sunny,15,416,431
27,2011-01-28,2011,Jan,FALSE,Fri,TRUE,Cloudy,38,1129,1167
28,2011-01-29,2011,Jan,FALSE,Sat,FALSE,Sunny,123,975,1098
29,2011-01-30,2011,Jan,FALSE,Sun,FALSE,Sunny,140,956,1096
30,2011-01-31,2011,Jan,FALSE,Mon,TRUE,Cloudy,42,1459,1501
31,2011-02-01,2011,Feb,FALSE,Tues,TRUE,Cloudy,47,1313,1360
32,2011-02-02,2011,Feb,FALSE,Wed,TRUE,Cloudy,72,1454,1526
33,2011-02-03,2011,Feb,FALSE,Thur,TRUE,Sunny,61,1489,1550
34,2011-02-04,2011,Feb,FALSE,Fri,TRUE,Cloudy,88,1620,1708
35,2011-02-05,2011,Feb,FALSE,Sat,FALSE,Cloudy,100,905,1005
36,2011-02-06,2011,Feb,FALSE,Sun,FALSE,Sunny,354,1269,1623
37,2011-02-07,2011,Feb,FALSE,Mon,TRUE,Sunny,120,1592,1712
38,2011-02-08,2011,Feb,FALSE,Tues,TRUE,Sunny,64,1466,1530
39,2011-02-09,2011,Feb,FALSE,Wed,TRUE,Cloudy,53,1552,1605
40,2011-02-10,2011,Feb,FALSE,Thur,TRUE,Sunny,47,1491,1538
41,2011-02-11,2011,Feb,FALSE,Fri,TRUE,Sunny,149,1597,1746
42,2011-02-12,2011,Feb,FALSE,Sat,FALSE,Sunny,288,1184,1472
43,2011-02-13,2011,Feb,FALSE,Sun,FALSE,Sunny,397,1192,1589
44,2011-02-14,2011,Feb,FALSE,Mon,TRUE,Sunny,208,1705,1913
45,2011-02-15,2011,Feb,FALSE,Tues,TRUE,Sunny,140,1675,1815
46,2011-02-16,2011,Feb,FALSE,Wed,TRUE,Sunny,218,1897,2115
47,2011-02-17,2011,Feb,FALSE,Thur,TRUE,Sunny,259,2216,2475
48,2011-02-18,2011,Feb,FALSE,Fri,TRUE,Sunny,579,2348,2927
49,2011-02-19,2011,Feb,FALSE,Sat,FALSE,Sunny,532,1103,1635
50,2011-02-20,2011,Feb,FALSE,Sun,FALSE,Sunny,639,1173,1812
51,2011-02-21,2011,Feb,TRUE,Mon,FALSE,Cloudy,195,912,1107
52,2011-02-22,2011,Feb,FALSE,Tues,TRUE,Sunny,74,1376,1450
53,2011-02-23,2011,Feb,FALSE,Wed,TRUE,Sunny,139,1778,1917
54,2011-02-24,2011,Feb,FALSE,Thur,TRUE,Cloudy,100,1707,1807
55,2011-02-25,2011,Feb,FALSE,Fri,TRUE,Cloudy,120,1341,1461
56,2011-02-26,2011,Feb,FALSE,Sat,FALSE,Sunny,424,1545,1969
57,2011-02-27,2011,Feb,FALSE,Sun,FALSE,Sunny,694,1708,2402
58,2011-02-28,2011,Feb,FALSE,Mon,TRUE,Cloudy,81,1365,1446
59,2011-03-01,2011,March,FALSE,Tues,TRUE,Sunny,137,1714,1851
60,2011-03-02,2011,March,FALSE,Wed,TRUE,Sunny,231,1903,2134
61,2011-03-03,2011,March,FALSE,Thur,TRUE,Sunny,123,1562,1685
62,2011-03-04,2011,March,FALSE,Fri,TRUE,Cloudy,214,1730,1944
63,2011-03-05,2011,March,FALSE,Sat,FALSE,Cloudy,640,1437,2077
64,2011-03-06,2011,March,FALSE,Sun,FALSE,Cloudy,114,491,605
65,2011-03-07,2011,March,FALSE,Mon,TRUE,Sunny,244,1628,1872
66,2011-03-08,2011,March,FALSE,Tues,TRUE,Sunny,316,1817,2133
67,2011-03-09,2011,March,FALSE,Wed,TRUE,Cloudy,191,1700,1891
68,2011-03-10,2011,March,FALSE,Thur,TRUE,Rain/Snow,46,577,623
69,2011-03-11,2011,March,FALSE,Fri,TRUE,Cloudy,247,1730,1977
70,2011-03-12,2011,March,FALSE,Sat,FALSE,Sunny,724,1408,2132
71,2011-03-13,2011,March,FALSE,Sun,FALSE,Sunny,982,1435,2417
72,2011-03-14,2011,March,FALSE,Mon,TRUE,Sunny,359,1687,2046
73,2011-03-15,2011,March,FALSE,Tues,TRUE,Cloudy,289,1767,2056
74,2011-03-16,2011,March,FALSE,Wed,TRUE,Cloudy,321,1871,2192
75,2011-03-17,2011,March,FALSE,Thur,TRUE,Sunny,424,2320,2744
76,2011-03-18,2011,March,FALSE,Fri,TRUE,Sunny,884,2355,3239
77,2011-03-19,2011,March,FALSE,Sat,FALSE,Sunny,1424,1693,3117
78,2011-03-20,2011,March,FALSE,Sun,FALSE,Sunny,1047,1424,2471
79,2011-03-21,2011,March,FALSE,Mon,TRUE,Cloudy,401,1676,2077
80,2011-03-22,2011,March,FALSE,Tues,TRUE,Sunny,460,2243,2703
81,2011-03-23,2011,March,FALSE,Wed,TRUE,Cloudy,203,1918,2121
82,2011-03-24,2011,March,FALSE,Thur,TRUE,Cloudy,166,1699,1865
83,2011-03-25,2011,March,FALSE,Fri,TRUE,Sunny,300,1910,2210
84,2011-03-26,2011,March,FALSE,Sat,FALSE,Sunny,981,1515,2496
85,2011-03-27,2011,March,FALSE,Sun,FALSE,Cloudy,472,1221,1693
86,2011-03-28,2011,March,FALSE,Mon,TRUE,Sunny,222,1806,2028
87,2011-03-29,2011,March,FALSE,Tues,TRUE,Sunny,317,2108,2425
88,2011-03-30,2011,March,FALSE,Wed,TRUE,Cloudy,168,1368,1536
89,2011-03-31,2011,March,FALSE,Thur,TRUE,Rain/Snow,179,1506,1685
90,2011-04-01,2011,April,FALSE,Fri,TRUE,Cloudy,307,1920,2227
91,2011-04-02,2011,April,FALSE,Sat,FALSE,Cloudy,898,1354,2252
92,2011-04-03,2011,April,FALSE,Sun,FALSE,Sunny,1651,1598,3249
93,2011-04-04,2011,April,FALSE,Mon,TRUE,Sunny,734,2381,3115
94,2011-04-05,2011,April,FALSE,Tues,TRUE,Cloudy,167,1628,1795
95,2011-04-06,2011,April,FALSE,Wed,TRUE,Sunny,413,2395,2808
96,2011-04-07,2011,April,FALSE,Thur,TRUE,Sunny,571,2570,3141
97,2011-04-08,2011,April,FALSE,Fri,TRUE,Cloudy,172,1299,1471
98,2011-04-09,2011,April,FALSE,Sat,FALSE,Cloudy,879,1576,2455
99,2011-04-10,2011,April,FALSE,Sun,FALSE,Cloudy,1188,1707,2895
100,2011-04-11,2011,April,FALSE,Mon,TRUE,Cloudy,855,2493,3348
101,2011-04-12,2011,April,FALSE,Tues,TRUE,Cloudy,257,1777,2034
102,2011-04-13,2011,April,FALSE,Wed,TRUE,Cloudy,209,1953,2162
103,2011-04-14,2011,April,FALSE,Thur,TRUE,Sunny,529,2738,3267
104,2011-04-15,2011,April,TRUE,Fri,FALSE,Sunny,642,2484,3126
105,2011-04-16,2011,April,FALSE,Sat,FALSE,Rain/Snow,121,674,795
106,2011-04-17,2011,April,FALSE,Sun,FALSE,Sunny,1558,2186,3744
107,2011-04-18,2011,April,FALSE,Mon,TRUE,Sunny,669,2760,3429
108,2011-04-19,2011,April,FALSE,Tues,TRUE,Cloudy,409,2795,3204
109,2011-04-20,2011,April,FALSE,Wed,TRUE,Sunny,613,3331,3944
110,2011-04-21,2011,April,FALSE,Thur,TRUE,Sunny,745,3444,4189
111,2011-04-22,2011,April,FALSE,Fri,TRUE,Cloudy,177,1506,1683
112,2011-04-23,2011,April,FALSE,Sat,FALSE,Cloudy,1462,2574,4036
113,2011-04-24,2011,April,FALSE,Sun,FALSE,Cloudy,1710,2481,4191
114,2011-04-25,2011,April,FALSE,Mon,TRUE,Sunny,773,3300,4073
115,2011-04-26,2011,April,FALSE,Tues,TRUE,Sunny,678,3722,4400
116,2011-04-27,2011,April,FALSE,Wed,TRUE,Cloudy,547,3325,3872
117,2011-04-28,2011,April,FALSE,Thur,TRUE,Cloudy,569,3489,4058
118,2011-04-29,2011,April,FALSE,Fri,TRUE,Sunny,878,3717,4595
119,2011-04-30,2011,April,FALSE,Sat,FALSE,Sunny,1965,3347,5312
120,2011-05-01,2011,May,FALSE,Sun,FALSE,Cloudy,1138,2213,3351
121,2011-05-02,2011,May,FALSE,Mon,TRUE,Cloudy,847,3554,4401
122,2011-05-03,2011,May,FALSE,Tues,TRUE,Cloudy,603,3848,4451
123,2011-05-04,2011,May,FALSE,Wed,TRUE,Cloudy,255,2378,2633
124,2011-05-05,2011,May,FALSE,Thur,TRUE,Sunny,614,3819,4433
125,2011-05-06,2011,May,FALSE,Fri,TRUE,Sunny,894,3714,4608
